Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Amber,—,—,—,Rob C.,—,—,—,—,Jerri,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,None,,
Rupert,Tina,Ethan,—,—,—,—,—,—,—,Lex,Kathy,Alicia,Shii Ann,Tom,Rob M.,,,
Tom,—,—,—,Rob C.,—,—,—,—,—,Lex,Kathy,Alicia,Shii Ann,Jenna L.,,,,
Alicia,—,—,—,Rob C.,—,—,—,—,—,Lex,Kathy,Rupert,,,,,,
Kathy,—,—,—,—,Richard,—,,Ethan,Jerri,Amber,Amber,,,,,,,
Lex,—,—,—,—,Richard,—,Colby,Ethan,Jerri,Amber,,,,,,,,
Jerri,Tina,Rudy,—,—,Richard,—,Colby,Ethan,Amber,,,,,,,,,
Ethan,Jenna L.,Rudy,—,—,Richard,—,Jerri,Jerri,,,,,,,,,,
Colby,—,—,—,—,Richard,—,Jerri,,,,,,,,,,,
Susan,—,—,—,Rob C.,—,Quit,,,,,,,,,,,,
Richard,—,—,—,—,Colby,,,,,,,,,,,,,
Rudy,Tina,Ethan,,,,,,,,,,,,,,,,
Tina,Jenna L.,,,,,,,,,,,,,,,,,
Rob M.,—,—,—,Rob C.,—,—,—,—,—,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,Jenna L.,,
Jenna L.,Tina,Rudy,—,—,—,—,—,—,—,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,None,Rob M.,
Shii Ann,—,—,—,—,Richard,—,Colby,Ethan,Jerri,Lex,Amber,Alicia,Amber,,,,,
Rob C.,—,—,—,Alicia,,,,,,,,,,,,,,
Jenna M.,—,—,Quit,,,,,,,,,,,,,,,
Result,Tina,Rudy,Jenna M.,Rob C.,Richard,Susan,Colby,Ethan,Jerri,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,Jenna L.,Rob M.,Amber
