Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Richard,Stacey,—,Stacey,—,Dirk,—,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Susan,None,None,,
Kelly,Rudy,—,Rudy,—,Dirk,—,Gretchen,Greg,Sean,Gervase,Sean,Sean,Richard,Susan,Rudy,,
Rudy,Sonja,—,Stacey,—,Dirk,—,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Susan,Susan,None,,
Susan,Sonja,—,Stacey,—,Dirk,—,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Richard,None,,,
Sean,Sonja,—,Stacey,—,Rudy,—,Colleen,Greg,Jenna,Gervase,Colleen,Susan,,,,,
Colleen,—,B.B.,—,Ramona,—,Joel,Richard,Jenna,Richard,Sean,Sean,,,,,,
Gervase,—,B.B.,—,Colleen,—,Jenna,Susan,Jenna,Richard,Sean,,,,,,,
Jenna,—,B.B.,—,Ramona,—,Joel,Gervase,Greg,Richard,,,,,,,,
Greg,—,Ramona,—,Jenna,—,Joel,Jenna,Jenna,,,,,,,,,
Gretchen,—,B.B.,—,Ramona,—,Joel,Rudy,,,,,,,,,,
Joel,—,B.B.,—,Ramona,—,Jenna,,,,,,,,,,,
Dirk,Sonja,—,Stacey,—,Susan,,,,,,,,,,,,
Ramona,—,B.B.,—,Colleen,,,,,,,,,,,,,
Stacey,Rudy,—,Rudy,,,,,,,,,,,,,,
B.B.,—,Ramona,,,,,,,,,,,,,,,
Sonja,Rudy,,,,,,,,,,,,,,,,
Result,Sonja,B.B.,Stacey,Ramona,Dirk,Joel,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Tie,Susan,Rudy,Kelly,Richard
