Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Jeremy,—,—,—,—,Monica,—,—,Ciera,Kelley,Kelly,Ciera,Joe,Joe,Abi-Maria,Kelley,Kimmi,—,Keith,Kelley,,,
Spencer,Vytas,Shirin,—,—,Kelly,—,Woo,Ciera,Kelley,Kelly,Stephen,Stephen,Joe,Abi-Maria,Kelley,Kimmi,—,Keith,Kelley,,,
Tasha,—,—,Peih-Gee,Jeff,—,—,—,Kass,Kelley,Ciera,Stephen,Abi-Maria,Joe,Abi-Maria,Kelley,Kimmi,—,Keith,Kelley,,,
Kelley,Vytas,Spencer,—,—,—,—,—,Kass,Andrew,Kelly,Kimmi,Stephen,Joe,Tasha,Jeremy,Tasha,—,Spencer,Spencer,,,
Keith,—,—,—,—,—,—,—,Kass,Kelley,Kelley,Stephen,Stephen,Tasha,Tasha,Jeremy,Tasha,—,Spencer,,,,
Kimmi,—,—,—,—,Monica,—,—,Kass,Kelley,Ciera,Ciera,Abi-Maria,Joe,Abi-Maria,Jeremy,Tasha,,,,,,
Joe,—,—,—,—,—,—,—,Ciera,Kelley,Kelley,Stephen,None,Abi-Maria,,,,,,,,,
Stephen,—,—,—,—,Monica,—,—,Kass,Kelley,Kelly,Ciera,Joe,,,,,,,,,,
Ciera,—,—,—,—,—,—,Woo,Andrew,Andrew,Kelly,Kimmi,,,,,,,,,,,
Kelly,Abi-Maria,Shirin,—,—,Spencer,—,Spencer,Ciera,Kelley,Ciera,,,,,,,,,,,,
Andrew,—,—,Peih-Gee,Jeff,—,—,Spencer,Kass,Kelley,,,,,,,,,,,,,
Kass,—,—,—,—,—,—,Woo,Tasha,,,,,,,,,,,,,,
Woo,Abi-Maria,Shirin,Abi-Maria,Jeff,—,—,Spencer,,,,,,,,,,,,,,,
Terry,Abi-Maria,Spencer,—,—,—,Evacuated,,,,,,,,,,,,,,,,
Monica,—,—,—,—,Kelly,,,,,,,,,,,,,,,,,
Jeff,Vytas,Shirin,Peih-Gee,Woo,,,,,,,,,,,,,,,,,,
Shirin,Vytas,Spencer,,,,,,,,,,,,,,,,,,,,
Vytas,Abi-Maria,,,,,,,,,,,,,,,,,,,,,
Abi-Maria,Vytas,Spencer,Peih-Gee,Jeff,—,—,Woo,Tasha,Andrew,Kelly,Stephen,Stephen,Joe,Keith,,,,,,,,
Peih-Gee,Vytas,Shirin,Abi-Maria,,,,,,,,,,,,,,,,,,,
Result,Vytas,Shirin,Peih-Gee,Jeff,Monica,Terry,Woo,Kass,Andrew,Kelly,Ciera,Stephen,Joe,Abi-Maria,Null,Deadlock,Kimmi,Keith,Kelley,Tasha,Spencer,Jeremy
