Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Todd,—,—,Leslie,—,—,Sherea,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,,,
Courtney,—,—,Jean-Robert,—,—,Jean-Robert,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,,,
Amanda,—,—,Leslie,—,—,Sherea,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,,,
Denise,—,—,Leslie,—,—,Sherea,Jaime,Peih-Gee,Frosti,James,Erik,Peih-Gee,Todd,,,
Peih-Gee,Chicken,Ashley,—,Dave,Aaron,—,Jean-Robert,James,Frosti,Todd,Todd,Todd,,,,
Erik,Chicken,Ashley,—,Dave,Aaron,—,Jean-Robert,James,Frosti,James,Todd,,,,,
James,—,—,Leslie,—,Peih-Gee,—,Jaime,Jean-Robert,Frosti,Peih-Gee,,,,,,
Frosti,Chicken,Ashley,—,Dave,—,Sherea,Jaime,Jean-Robert,Erik,,,,,,,
Jaime,Chicken,Ashley,—,Dave,Aaron,—,Jean-Robert,,,,,,,,,
Sherea,Chicken,Ashley,—,Dave,—,Jean-Robert,,,,,,,,,,
Aaron,—,—,Leslie,—,James,,,,,,,,,,,
Dave,Ashley,Ashley,—,Sherea,,,,,,,,,,,,
Leslie,—,—,Jean-Robert,,,,,,,,,,,,,
Ashley,Peih-Gee,Dave,,,,,,,,,,,,,,
Chicken,Ashley,,,,,,,,,,,,,,,
Jean-Robert,—,—,Leslie,—,—,Sherea,Jaime,James,,,,,,,,
Result,Chicken,Ashley,Leslie,Dave,Aaron,Sherea,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,Amanda,Courtney,Todd
