Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Yul,—,—,Cecilia,—,—,Cao Boi,—,Jessica,—,—,—,Nate,Candice,Jonathan,Parvati,Adam,Sundra,—,,,
Ozzy,—,Billy,Becky,—,—,Cao Boi,—,Jessica,—,—,—,Nate,Candice,Jonathan,Parvati,Adam,Becky,—,,,
Becky,—,—,Cecilia,—,—,Cao Boi,—,Jessica,—,—,—,Nate,Candice,Jonathan,Parvati,Adam,Sundra,—,,,
Sundra,Sekou,—,Becky,—,—,Cao Boi,—,Jessica,—,—,—,Nate,Candice,Jonathan,Parvati,Adam,Becky,,,,
Adam,—,—,—,J.P.,Stephannie,—,Cristina,—,Brad,Rebecca,Jenny,Yul,Jonathan,Jonathan,Sundra,Yul,,,,,
Parvati,—,—,—,J.P.,Stephannie,—,Cristina,—,Brad,Rebecca,Jenny,Yul,Jonathan,Jonathan,Sundra,,,,,,
Jonathan,—,—,Cecilia,—,—,Cao Boi,—,Jessica,Brad,Rebecca,Jenny,Nate,Candice,Adam,,,,,,,
Candice,—,—,,—,—,Cao Boi,—,Jessica,Brad,Rebecca,Jenny,Yul,Jonathan,,,,,,,,
Nate,Sundra,—,—,Stephannie,Stephannie,—,,—,Brad,Rebecca,Jonathan,Yul,,,,,,,,,
Jenny,—,—,—,J.P.,Stephannie,—,Cristina,—,Brad,Rebecca,Jonathan,,,,,,,,,,
Rebecca,Sekou,—,—,J.P.,Stephannie,—,Cristina,—,Brad,Jonathan,,,,,,,,,,,
Brad,—,—,—,J.P.,Stephannie,—,Jenny,—,Jonathan,,,,,,,,,,,,
Jessica,—,—,Cecilia,—,—,Jonathan,—,Jonathan,,,,,,,,,,,,,
Cristina,—,Billy,—,J.P.,Stephannie,—,Jenny,,,,,,,,,,,,,,
Cao Boi,—,—,Cecilia,—,—,Candice,,,,,,,,,,,,,,,
Stephannie,Sekou,—,—,J.P.,Cristina,,,,,,,,,,,,,,,,
J.P.,—,Billy,—,Stephannie,,,,,,,,,,,,,,,,,
Cecilia,—,Billy,Becky,,,,,,,,,,,,,,,,,,
Billy,—,Ozzy,,,,,,,,,,,,,,,,,,,
Sekou,Sundra,,,,,,,,,,,,,,,,,,,,
Result,Sekou,Billy,Cecilia,J.P.,Stephannie,Cao Boi,Cristina,Jessica,Brad,Rebecca,Jenny,Nate,Candice,Jonathan,Parvati,Adam,Tie,Sundra,Becky,Ozzy,Yul
