Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Nick,—,Jessica,—,—,—,Natalie,Lyrsa,Elizabeth,John,Dan,Alec,Alison,Christian,Christian,Alison,Alison,—,,,
Mike,—,—,Jeremy,—,—,Natalie,Lyrsa,Elizabeth,Christian,Christian,Alec,Carl,Gabby,Davie,Davie,Alison,—,,,
Angelina,—,—,Jeremy,—,—,Lyrsa,Lyrsa,Elizabeth,Christian,Christian,Alec,Alison,Gabby,Christian,Davie,Alison,—,,,
Kara,—,—,Jeremy,—,Davie,—,—,Elizabeth,Christian,Angelina,Alec,Carl,Christian,Christian,Davie,Alison,,,,
Alison,—,—,Jeremy,—,—,—,—,Elizabeth,Christian,None,Alec,Carl,Christian,Davie,Davie,Mike,,,,
Davie,—,Lyrsa,—,—,Natalia,—,—,Elizabeth,John,Dan,Alec,Alison,Christian,Alison,Alison,,,,,
Christian,—,Jessica,—,—,—,—,—,Elizabeth,John,Dan,Alec,Carl,Alison,Alison,,,,,,
Gabby,—,Jessica,—,—,—,—,—,Elizabeth,Angelina,Dan,Alec,Carl,Christian,,,,,,,
Carl,—,Lyrsa,—,—,,—,—,Elizabeth,Angelina,Dan,Alec,Alison,,,,,,,,
Alec,—,—,Jeremy,—,Natalia,—,—,Elizabeth,Christian,Angelina,Carl,,,,,,,,,
Dan,—,—,Jeremy,—,—,—,—,Elizabeth,Christian,Christian,,,,,,,,,,
John,—,—,Jeremy,—,—,—,—,Elizabeth,Christian,,,,,,,,,,,
Elizabeth,—,Jessica,—,—,Natalia,—,—,Angelina,,,,,,,,,,,,
Lyrsa,—,Jessica,—,—,—,Natalie,Angelina,,,,,,,,,,,,,
Natalie,—,—,Jeremy,—,—,Lyrsa,,,,,,,,,,,,,,
Natalia,—,—,Jeremy,—,Elizabeth,,,,,,,,,,,,,,,
Bi,—,Lyrsa,—,Quit,,,,,,,,,,,,,,,,
Jeremy,—,—,Natalie,,,,,,,,,,,,,,,,,
Jessica,—,Lyrsa,,,,,,,,,,,,,,,,,,
Pat,Evacuated,,,,,,,,,,,,,,,,,,,
Result,Pat,Jessica,Jeremy,Bi,Natalia,Natalie,Lyrsa,Elizabeth,John,Dan,Alec,Carl,Gabby,Christian,Davie,Alison,Kara,Angelina,Mike,Nick
