Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Earl,Jessica,,Sylvia,—,—,Rita,—,—,—,—,Edgardo,Alex,Alex,Stacy,Boo,Yau-Man,,,
Cassandra,—,—,—,—,Lisi,—,—,—,—,—,Edgardo,Mookie,Alex,Yau-Man,Boo,Yau-Man,,,
Dreamz,—,—,—,—,Liliana,—,Anthony,Rocky,Lisi,Michelle,Mookie,Mookie,Alex,Yau-Man,Boo,Yau-Man,,,
Yau-Man,Jessica,Erica,Sylvia,—,—,Rita,—,—,—,—,Edgardo,Alex,Alex,Stacy,Boo,Cassandra,,,
Boo,—,—,—,—,Liliana,—,—,—,—,—,Edgardo,Mookie,Alex,Yau-Man,Dreamz,,,,
Stacy,—,—,—,—,Liliana,—,—,—,—,Michelle,Edgardo,Alex,Alex,Yau-Man,,,,,
Alex,—,—,—,—,Liliana,—,Anthony,Rocky,Lisi,Michelle,Cassandra,Mookie,Yau-Man,,,,,,
Mookie,Jessica,Erica,Anthony,—,—,Rita,Anthony,Lisi,Lisi,Stacy,Cassandra,Boo,,,,,,,
Edgardo,—,—,—,—,Liliana,—,Anthony,Rocky,Lisi,—,Cassandra,,,,,,,,
Michelle,Jessica,Erica,Sylvia,—,—,Anthony,—,—,—,Stacy,,,,,,,,,
Lisi,—,—,—,—,Liliana,—,,Rocky,Dreamz,,,,,,,,,,
Rocky,Mookie,Erica,Anthony,—,—,Rita,Anthony,Lisi,,,,,,,,,,,
Anthony,Jessica,Sylvia,Sylvia,—,—,Rita,Rocky,,,,,,,,,,,,
Rita,Jessica,Erica,Earl,—,—,Anthony,,,,,,,,,,,,,
Liliana,—,—,—,—,Cassandra,,,,,,,,,,,,,,
Gary,—,—,—,Quit,,,,,,,,,,,,,,,
Sylvia,,Erica,Anthony,,,,,,,,,,,,,,,,
Erica,Yau-Man,Sylvia,,,,,,,,,,,,,,,,,
Jessica,Rita,,,,,,,,,,,,,,,,,,
Result,Jessica,Erica,Sylvia,Gary,Liliana,Rita,Anthony,Rocky,Lisi,Michelle,Edgardo,Mookie,Alex,Stacy,Boo,Yau-Man,Dreamz,Cassandra,Earl
