Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Bob,—,—,Paloma,—,—,—,—,Dan,Ken,Crystal,Susie,Matty,Crystal,Ken,Matty,—,,,
Susie,Michelle,Gillian,—,—,—,—,—,Dan,Marcus,Charlie,Randy,Corinne,Crystal,Ken,Bob,—,,,
Sugar,—,—,Paloma,,G.C.,Kelly,Ace,—,—,Charlie,Randy,Corinne,Crystal,Ken,Matty,—,,,
Matty,Michelle,Gillian,—,Jacquie,G.C.,Kelly,Crystal,—,—,Charlie,Randy,Corinne,Crystal,Ken,Bob,,,,
Ken,Michelle,Gillian,—,Jacquie,G.C.,Kelly,Ace,—,Marcus,Charlie,Randy,Matty,Matty,Susie,,,,,
Crystal,Michelle,Gillian,—,Jacquie,G.C.,Kelly,Ace,—,Marcus,Charlie,Randy,Corinne,Matty,,,,,,
Corinne,—,—,Paloma,—,—,—,—,Dan,—,Crystal,Susie,Matty,,,,,,,
Randy,Michelle,Gillian,—,—,—,—,—,Susie,—,Crystal,Susie,,,,,,,,
Charlie,—,—,Paloma,—,—,—,—,Dan,—,Crystal,,,,,,,,,
Marcus,—,—,Paloma,—,—,—,—,Susie,Ken,,,,,,,,,,
Dan,Michelle,Gillian,—,—,—,—,—,Susie,,,,,,,,,,,
Ace,—,—,Paloma,Kelly,G.C.,Kelly,Crystal,,,,,,,,,,,,
Kelly,—,—,Ace,Jacquie,G.C.,Crystal,,,,,,,,,,,,,
G.C.,Michelle,Gillian,—,Jacquie,Kelly,,,,,,,,,,,,,,
Jacquie,—,—,Paloma,Kelly,,,,,,,,,,,,,,,
Paloma,—,—,Ace,,,,,,,,,,,,,,,,
Gillian,Michelle,Ken,,,,,,,,,,,,,,,,,
Michelle,Gillian,,,,,,,,,,,,,,,,,,
Result,Michelle,Gillian,Paloma,Jacquie,G.C.,Kelly,Ace,Dan,Marcus,Charlie,Randy,Corinne,Crystal,Ken,Tie,Matty,Sugar,Susie,Bob
