Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Sarah,—,—,—,—,—,Sandra,Jeff,Michaela,Ozzy,Debbie,Zeke,Sierra,Andrea,Michaela,Tai,Aubry,Tai,,,
Brad,—,—,Caleb,Malcolm,—,—,—,Hali,Ozzy,Andrea,Tai,Andrea,Andrea,Michaela,Aubry,Aubry,Tai,,,
Troyzan,Ciera,Tony,—,—,—,—,—,Hali,Ozzy,Andrea,Tai,Andrea,Andrea,Michaela,Tai,Aubry,Tai,,,
Tai,—,—,Caleb,Malcolm,—,Sandra,Jeff,Hali,Ozzy,Andrea,Sierra,Sierra,Andrea,None,Sarah,Aubry,Troyzan,,,
Aubry,Ciera,Tony,—,Sierra,Michaela,—,—,Hali,Zeke,Debbie,Zeke,Sierra,Brad,Tai,Sarah,Troyzan,,,,
Cirie,—,—,—,—,—,—,—,Michaela,Sierra,Debbie,Zeke,Sierra,Andrea,Aubry,Sarah,,,,,
Michaela,Ciera,Tony,—,Sierra,J.T.,—,—,Zeke,Zeke,Debbie,Zeke,Sierra,Andrea,Tai,,,,,,
Andrea,—,—,—,—,—,Sandra,Jeff,Michaela,Zeke,Debbie,Zeke,Sierra,Brad,,,,,,,
Sierra,—,—,Caleb,Malcolm,—,—,—,Hali,Ozzy,Andrea,Tai,Andrea,,,,,,,,
Zeke,—,—,—,—,—,Sandra,Jeff,Michaela,Aubry,Debbie,Sierra,,,,,,,,,
Debbie,—,—,Caleb,Malcolm,—,,Jeff,Hali,Ozzy,Andrea,,,,,,,,,,
Ozzy,—,—,—,—,—,Sandra,Jeff,Hali,Zeke,,,,,,,,,,,
Hali,Ciera,Tony,Caleb,Malcolm,—,—,—,Zeke,,,,,,,,,,,,
Jeff,Ciera,Tony,—,Sierra,J.T.,Tai,None,,,,,,,,,,,,,
Sandra,Ciera,Aubry,—,Sierra,J.T.,Tai,,,,,,,,,,,,,,
J.T.,—,—,—,Sierra,Michaela,,,,,,,,,,,,,,,
Malcolm,Ciera,Tony,—,Sierra,,,,,,,,,,,,,,,,
Caleb,Ciera,Tony,Hali,,,,,,,,,,,,,,,,,
Tony,Ciera,Aubry,,,,,,,,,,,,,,,,,,
Ciera,Michaela,,,,,,,,,,,,,,,,,,,
Result,Ciera,Tony,Caleb,Malcolm,J.T.,Sandra,Jeff,Hali,Ozzy,Debbie,Zeke,Sierra,Andrea,Michaela,Cirie,Aubry,Tai,Troyzan,Brad,Sarah
