Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Wendell,—,—,Angela,—,—,—,—,Chris,Michael,Desiree,—,Michael,Michael,Chelsea,Kellyn,Kellyn,Sebastian,Donathan,—,,,
Domenick,—,—,Angela,—,—,—,Bradley,Chris,Michael,Desiree,—,Michael,Michael,Chelsea,Kellyn,Kellyn,Sebastian,Donathan,—,,,
Laurel,Gonzalez,Jacob,Morgan,—,—,—,—,Chris,Libby,Desiree,—,Kellyn,None,Chelsea,Kellyn,Kellyn,Sebastian,Donathan,—,,,
Angela,—,—,Libby,—,—,James,—,Libby,Michael,None,Jenna,—,—,Wendell,Donathan,Kellyn,Sebastian,Donathan,,,,
Donathan,Gonzalez,,Morgan,—,—,—,Bradley,Chris,Michael,Desiree,Sebastian,—,—,Chelsea,Domenick,None,Domenick,Laurel,,,,
Sebastian,—,—,—,Brendan,Stephanie,—,—,Chris,Michael,Desiree,Jenna,—,—,Chelsea,Donathan,Donathan,Donathan,,,,,
Kellyn,—,—,—,Brendan,Stephanie,James,—,Chris,Libby,Desiree,—,Laurel,Michael,Wendell,Donathan,None,,,,,,
Chelsea,—,—,—,Brendan,Stephanie,—,Bradley,Chris,Libby,Michael,Jenna,—,—,Wendell,,,,,,,,
Michael,Gonzalez,James,—,Bradley,Stephanie,James,—,Chris,Wendell,Desiree,—,Wendell,None,,,,,,,,,
Jenna,Gonzalez,Jacob,—,Bradley,Stephanie,—,—,Chris,Michael,Desiree,Donathan,,,,,,,,,,,
Desiree,—,—,—,Brendan,Stephanie,James,—,Libby,Libby,Michael,,,,,,,,,,,,
Libby,Gonzalez,James,Morgan,—,—,—,Bradley,Chris,Michael,,,,,,,,,,,,,
Chris,—,—,,—,—,—,—,None,,,,,,,,,,,,,,
Bradley,—,—,—,Brendan,Stephanie,—,Libby,,,,,,,,,,,,,,,
James,Gonzalez,Jacob,Morgan,—,—,Desiree,,,,,,,,,,,,,,,,
Stephanie,Gonzalez,Jacob,—,Bradley,Desiree,,,,,,,,,,,,,,,,,
Brendan,Gonzalez,Jacob,—,Bradley,,,,,,,,,,,,,,,,,,
Morgan,—,—,Angela,,,,,,,,,,,,,,,,,,,
Jacob,,Michael,,,,,,,,,,,,,,,,,,,,
Gonzalez,Donathan,,,,,,,,,,,,,,,,,,,,,
Result,Gonzalez,Jacob,Morgan,Brendan,Stephanie,James,Bradley,Chris,Libby,Desiree,Jenna,Tie,Michael,Chelsea,Tie,Kellyn,Sebastian,Donathan,Angela,Laurel,Domenick,Wendell
