Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Danni,Jim,—,—,—,Blake,—,Brian,Amy,Jamie,Stephenie,Jamie,Gary,Judd,Cindy,Lydia,Rafe,,
Stephenie,—,Morgan,Brianna,Brooke,—,Margaret,—,—,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Lydia,None,,
Rafe,—,Morgan,Brianna,Brooke,—,Margaret,—,—,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Lydia,None,Stephenie,
Lydia,—,Morgan,Brianna,Brooke,—,Margaret,—,—,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Danni,,,
Cindy,Jim,—,—,Lydia,—,Margaret,—,—,Brandon,Bobby Jon,Jamie,Gary,Lydia,Rafe,,,,
Judd,Jim,—,—,Brooke,—,Margaret,—,—,Brandon,Bobby Jon,Gary,Gary,Lydia,,,,,
Gary,—,Morgan,Brianna,—,Blake,—,Brian,Amy,Jamie,Cindy,Jamie,Cindy,,,,,,
Jamie,—,Morgan,Brianna,Brooke,—,Margaret,—,—,Brandon,Bobby Jon,Gary,,,,,,,
Bobby Jon,Jim,—,—,—,Blake,—,Brian,Amy,Jamie,Stephenie,,,,,,,,
Brandon,Jim,—,—,—,Brian,—,Brian,Amy,Jamie,,,,,,,,,
Amy,—,Morgan,Brianna,—,Blake,—,Brian,Bobby Jon,,,,,,,,,,
Brian,—,Morgan,Brianna,—,Blake,—,Bobby Jon,,,,,,,,,,,
Margaret,Jim,—,—,Lydia,—,Judd,,,,,,,,,,,,
Blake,Jim,—,—,—,Brian,,,,,,,,,,,,,
Brooke,Jim,—,—,Lydia,,,,,,,,,,,,,,
Brianna,—,Morgan,Lydia,,,,,,,,,,,,,,,
Morgan,—,Lydia,,,,,,,,,,,,,,,,
Jim,Margaret,,,,,,,,,,,,,,,,,
Result,Jim,Morgan,Brianna,Brooke,Blake,Margaret,Brian,Amy,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Lydia,Rafe,Stephenie,Danni
