Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Ben,Katrina,—,—,—,—,—,Jessica,Desi,Desi,Cole,Mike,Joe,Lauren,Ashley,Devon,Devon,—,,,
Chrissy,Katrina,—,—,—,Roark,Ali,Jessica,Joe,Desi,Mike,Joe,Ashley,Ben,Ashley,Ben,Mike,—,,,
Ryan,—,Simone,Patrick,—,Roark,Ali,Jessica,Desi,Desi,Cole,Mike,Ashley,Ben,Ashley,Ben,Mike,—,,,
Devon,—,Simone,Patrick,None,—,—,Jessica,Desi,Desi,Cole,JP,Joe,Ben,Ashley,Mike,None,,Ryan,,
Mike,—,—,—,—,—,—,Chrissy,Joe,Joe,Cole,JP,Ryan,Ben,Ashley,Ben,None,,,,
Ashley,Katrina,—,—,Joe,—,—,Jessica,Joe,Desi,Cole,JP,Joe,Ben,Mike,,,,,,
Lauren,—,Simone,Patrick,—,—,—,Jessica,—,—,Cole,JP,Joe,Ben,,,,,,,
Joe,—,—,—,Alan,—,—,Chrissy,Ben,None,Cole,JP,Ryan,,,,,,,,
JP,Katrina,—,—,—,Roark,Ali,Jessica,Desi,Desi,Mike,Mike,,,,,,,,,
Cole,—,—,—,—,—,—,Chrissy,Joe,Desi,Ben,,,,,,,,,,
Desi,—,—,—,Alan,—,—,Chrissy,Lauren,None,,,,,,,,,,,
Jessica,—,—,—,—,—,—,Chrissy,,,,,,,,,,,,,
Ali,—,Simone,Patrick,—,Chrissy,JP,,,,,,,,,,,,,,
Roark,—,—,—,—,Chrissy,,,,,,,,,,,,,,,
Alan,Katrina,—,—,Joe,,,,,,,,,,,,,,,,
Patrick,—,Simone,Lauren,,,,,,,,,,,,,,,,,
Simone,—,Patrick,,,,,,,,,,,,,,,,,,
Katrina,Ashley,,,,,,,,,,,,,,,,,,,
Result,Katrina,Simone,Patrick,Alan,Roark,Ali,Jessica,Tie,Desi,Cole,JP,Joe,Lauren,Ashley,Tie,Mike,Devon,Ryan,Chrissy,Ben
