Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Sandra,—,—,Randy,—,—,Russell,—,Russell,Coach,Courtney,J.T.,Amanda,Candice,Rupert,Rupert,Colby,Jerri,,,
Parvati,—,—,Randy,—,—,Tyson,—,Rob,Coach,Courtney,J.T.,Amanda,Rupert,Rupert,Rupert,Colby,Jerri,,,
Russell,—,—,Randy,—,—,Tyson,—,Rob,Courtney,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Jerri,,,
Jerri,—,—,Randy,—,—,Parvati,—,Rob,Courtney,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Parvati,,,
Colby,Sugar,Amanda,—,Cirie,James,—,James,—,—,—,Jerri,Parvati,Candice,Danielle,Sandra,Sandra,,,,
Rupert,Sugar,Stephenie,—,Colby,Tom,—,James,—,—,—,Jerri,Parvati,Candice,Danielle,Sandra,,,,,
Danielle,—,—,Randy,—,—,Tyson,—,Rob,Coach,Courtney,J.T.,Amanda,Rupert,Rupert,,,,,,
Candice,Sugar,Stephenie,—,Tom,Tom,—,James,—,—,—,Jerri,Amanda,Rupert,,,,,,,
Amanda,Sugar,Stephenie,—,Tom,Tom,—,James,—,—,—,Jerri,Parvati,,,,,,,,
J.T.,Sugar,Stephenie,—,Cirie,Tom,—,James,—,—,—,Jerri,,,,,,,,,
Courtney,—,—,Randy,—,—,Parvati,—,Russell,Coach,Jerri,,,,,,,,,,
Coach,—,—,Randy,—,—,Parvati,—,Courtney,Courtney,,,,,,,,,,,
Rob,—,—,Randy,—,—,Russell,—,Russell,,,,,,,,,,,,
James,Sugar,Stephenie,—,Colby,Tom,—,Colby,,,,,,,,,,,,,
Tyson,—,—,Randy,—,—,Parvati,,,,,,,,,,,,,,
Tom,Sugar,Amanda,—,Cirie,James,,,,,,,,,,,,,,,
Cirie,Sugar,Stephenie,—,Tom,,,,,,,,,,,,,,,,
Randy,—,—,Rob,,,,,,,,,,,,,,,,,
Stephenie,Sugar,Amanda,,,,,,,,,,,,,,,,,,
Sugar,Amanda,,,,,,,,,,,,,,,,,,,
Result,Sugar,Stephenie,Randy,Cirie,Tom,Tyson,James,Rob,Coach,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Jerri,Russell,Parvati,Sandra
