Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Michele,—,—,—,—,—,—,—,—,—,—,Nick,Debbie,Tai,Julia,Jason,—,Aubry,—,,,
Aubry,—,—,—,Peter,None,—,—,Anna,Peter,—,Nick,Debbie,Scot,Julia,Jason,—,Cydney,—,,,
Tai,—,—,—,—,—,—,—,Anna,Peter,—,Jason,Cydney,Scot,Julia,Michele,—,Cydney,—,,,
Cydney,Alecia,Darnell,Jennifer,—,—,—,Alecia,—,—,—,Nick,Debbie,Scot,Julia,Jason,—,Aubry,,,,
Joe,—,—,—,Liz,Liz,—,—,Anna,Julia,—,Nick,Scot,Scot,Julia,Jason,Evacuated,,,,,
Jason,Alecia,Darnell,Jennifer,—,—,—,Alecia,—,—,—,Aubry,Cydney,Aubry,Tai,Joe,,,,,,
Julia,—,—,—,—,—,—,—,,Peter,—,Nick,Debbie,Tai,Tai,,,,,,,
Scot,Darnell,Darnell,Alecia,—,—,—,Alecia,Anna,Peter,—,Aubry,Cydney,Aubry,,,,,,,,
Debbie,—,—,—,Liz,Liz,—,—,—,—,—,Nick,Scot,,,,,,,,,
Nick,—,—,—,—,—,—,—,—,—,—,Debbie,,,,,,,,,,
Neal,—,—,—,Peter,Liz,—,—,—,—,Evacuated,,,,,,,,,,,
Peter,—,—,—,Aubry,None,—,—,Anna,Julia,,,,,,,,,,,,
Anna,—,—,—,—,—,—,—,Peter,,,,,,,,,,,,,
Alecia,Darnell,None,Jennifer,—,—,—,Scot,,,,,,,,,,,,,,
Caleb,—,—,—,—,—,Evacuated,,,,,,,,,,,,,,,
Liz,—,—,—,Aubry,None,,,,,,,,,,,,,,,,
Jennifer,Darnell,Darnell,Alecia,,,,,,,,,,,,,,,,,,
Darnell,Alecia,None,,,,,,,,,,,,,,,,,,,
Result,Tie,Darnell,Jennifer,Tie,Liz,Caleb,Alecia,Anna,Peter,Neal,Nick,Debbie,Scot,Julia,Jason,Joe,Tie,Cydney,Tai,Aubry,Michele
