Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Vecepia,Sarah,Patricia,Hunter,—,Gabriel,—,Rob,John,Zoe,Tammy,Robert,Neleh,Neleh,—,None,,
Neleh,—,—,—,Sarah,—,Gina,Rob,John,Zoe,Tammy,Robert,Sean,Kathy,—,Kathy,,
Kathy,—,—,—,Sarah,—,Gina,Zoe,John,Zoe,Tammy,Robert,Sean,Neleh,—,None,Neleh,
Paschal,—,—,—,Sarah,—,Gina,Rob,John,Zoe,Tammy,Robert,Sean,Kathy,,,,
Sean,Sarah,Patricia,Hunter,—,Gabriel,—,John,John,Zoe,Tammy,Robert,Neleh,,,,,
Robert,—,—,—,—,Gabriel,—,Rob,Sean,Zoe,Vecepia,Sean,,,,,,
Tammy,—,—,—,—,Gabriel,—,Rob,Sean,Zoe,Vecepia,,,,,,,
Zoe,—,—,—,—,Gabriel,—,Rob,John,Robert,,,,,,,,
John,—,—,—,—,Gabriel,—,Rob,Sean,,,,,,,,,
Rob,Peter,Patricia,Hunter,—,Gabriel,—,John,,,,,,,,,,
Gina,Peter,Sarah,Sarah,Sarah,—,Kathy,,,,,,,,,,,
Gabriel,—,—,—,—,Rob,,,,,,,,,,,,
Sarah,Peter,Patricia,Hunter,Kathy,,,,,,,,,,,,,
Hunter,Peter,Sarah,Sarah,,,,,,,,,,,,,,
Patricia,Peter,Sarah,,,,,,,,,,,,,,,
Peter,Patricia,,,,,,,,,,,,,,,,
Result,Peter,Patricia,Hunter,Sarah,Gabriel,Gina,Rob,John,Zoe,Tammy,Robert,Sean,Tie,Paschal,Kathy,Neleh,Vecepia
