Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Parvati,Jon,—,Yau-Man,—,—,—,—,—,—,—,Eliza,Ozzy,Jason,—,Alexis,Erik,Natalie,None,,
Amanda,Jon,—,Yau-Man,—,Joel,—,Chet,—,Tracy,Ami,Eliza,Jason,Jason,—,Alexis,Erik,Natalie,Cirie,,
Cirie,Jon,—,Yau-Man,—,Joel,—,Chet,—,Tracy,Ami,Eliza,Ozzy,Jason,—,Amanda,Erik,Natalie,None,,
Natalie,—,Mary,—,Mikey B.,—,—,—,—,—,—,Eliza,Ozzy,James,—,Amanda,Erik,Cirie,,,
Erik,—,Mary,—,Mikey B.,Chet,—,Chet,—,Tracy,Ami,Eliza,Jason,Jason,—,Amanda,Parvati,,,,
Alexis,—,Mary,—,Chet,—,—,—,—,—,—,Eliza,Ozzy,James,—,Amanda,,,,,
James,Jon,—,Yau-Man,—,—,—,—,—,—,—,Eliza,Jason,Parvati,Evacuated,,,,,,
Jason,—,Chet,—,Chet,—,—,—,—,—,—,Ozzy,Ozzy,James,,,,,,,
Ozzy,Jon,—,Yau-Man,—,Joel,—,Chet,—,Tracy,Ami,Eliza,Jason,,,,,,,,
Eliza,Jon,—,Yau-Man,—,—,—,—,—,—,—,Ozzy,,,,,,,,,
Ami,Jon,—,Cirie,—,Joel,—,Chet,—,Tracy,Erik,,,,,,,,,,
Tracy,—,Mary,—,Mikey B.,Joel,—,Erik,—,Ozzy,,,,,,,,,,,
Kathy,—,Mary,—,Mikey B.,—,—,—,Quit,,,,,,,,,,,,
Chet,—,Mary,—,Mikey B.,Joel,—,Erik,,,,,,,,,,,,,
Jonathan,Jon,—,Parvati,—,—,Evacuated,,,,,,,,,,,,,,
Joel,—,Tracy,—,Mikey B.,Chet,,,,,,,,,,,,,,,
Mikey B.,—,Chet,—,Chet,,,,,,,,,,,,,,,,
Yau-Man,Jon,—,Parvati,,,,,,,,,,,,,,,,,
Mary,—,Tracy,,,,,,,,,,,,,,,,,,
Jon,Ozzy,,,,,,,,,,,,,,,,,,,
Result,Jon,Mary,Yau-Man,Mikey B.,Joel,Jonathan,Chet,Kathy,Tracy,Ami,Eliza,Ozzy,Jason,James,Alexis,Erik,Natalie,Cirie,Amanda,Parvati
