Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fabio,—,Brenda,—,—,—,Kelly B.,Kelly B.,—,Marty,Alina,Jane,Brenda,—,—,Holly,Jane,Dan,Holly,,,
Chase,—,Shannon,—,—,Tyrone,—,—,Yve,—,Alina,Marty,Brenda,—,—,Benry,Jane,Dan,Holly,,,
Sash,—,Shannon,—,—,—,Marty,Kelly B.,—,Jill,Alina,Marty,Brenda,—,—,Benry,Jane,Dan,Holly,,,
Holly,Wendy,—,Jimmy J.,Dan,Tyrone,—,—,Yve,—,Alina,Marty,Brenda,—,—,Benry,Jane,Dan,Sash,,,
Dan,Wendy,—,Jimmy J.,Jimmy T.,Tyrone,—,—,Yve,—,Alina,Jane,Brenda,—,—,Fabio,Jane,Chase,,,,
Jane,Wendy,—,Jimmy J.,Dan,—,Marty,Marty,—,Marty,Marty,Marty,Brenda,—,—,Benry,Sash,,,,,
Benry,—,Shannon,—,—,Tyrone,—,—,Yve,—,Alina,Jane,Brenda,—,—,Fabio,,,,,,
NaOnka,—,Shannon,—,—,Tyrone,—,—,Yve,—,Alina,Marty,Brenda,—,—,,,,,,,
Brenda,—,Shannon,—,—,—,Kelly B.,Kelly B.,—,Jill,Alina,Marty,NaOnka,,,,,,,,,
Marty,Wendy,—,Jimmy J.,Jimmy T.,—,Brenda,None,—,Jane,Alina,Jane,,,,,,,,,,
Alina,—,Brenda,—,—,Tyrone,—,—,Yve,—,Marty,,,,,,,,,,,
Jill,Wendy,—,Jimmy J.,Jimmy T.,—,Brenda,Kelly B.,—,Jane,,,,,,,,,,,,
Yve,Wendy,—,Jimmy J.,Jimmy T.,NaOnka,—,—,Dan,,,,,,,,,,,,,
Tyrone,Wendy,—,Jimmy J.,Jimmy T.,NaOnka,,,,,,,,,,,,,,,,
Jimmy T.,Wendy,—,Jimmy J.,Dan,,,,,,,,,,,,,,,,,
Jimmy J.,Wendy,—,Dan,,,,,,,,,,,,,,,,,,
Shannon,—,Brenda,,,,,,,,,,,,,,,,,,,
Wendy,Yve,,,,,,,,,,,,,,,,,,,,
Kelly S.,—,Shannon,—,—,—,Kelly B.,Kelly B.,—,Jill,Alina,Marty,Benry,—,—,,,,,,,
Kelly B.,—,Shannon,—,—,—,Marty,None,,,,,,,,,,,,,,
Result,Wendy,Shannon,Jimmy J.,Jimmy T.,Tyrone,Tie,Kelly B.,Yve,Jill,Alina,Marty,Brenda,NaOnka,Kelly S.,Benry,Jane,Dan,Holly,Sash,Chase,Fabio
