Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Kim,—,Nina,—,—,—,—,Jonas,Michael,Jay,Tarzan,Troyzan,Kat,Tarzan,Alicia,Christina,,,
Sabrina,—,Nina,—,—,—,—,Jonas,Michael,Jay,Leif,Christina,Kat,Tarzan,Alicia,Christina,,,
Chelsea,—,Nina,—,—,—,—,Jonas,Michael,Troyzan,Leif,Troyzan,Kat,Tarzan,Alicia,Christina,,,
Christina,—,Nina,—,—,Tarzan,—,Jonas,Tarzan,Jay,Tarzan,Chelsea,Kat,Tarzan,Chelsea,Sabrina,,,
Alicia,—,Nina,—,—,Monica,—,Jonas,Tarzan,Jay,Tarzan,Troyzan,Kat,Tarzan,Chelsea,,,,
Tarzan,—,—,Matt,Bill,Monica,—,Jonas,Christina,Jay,Leif,Christina,Kat,Chelsea,,,,,
Kat,—,Nina,—,—,—,—,Jonas,Michael,Troyzan,Leif,Troyzan,Sabrina,,,,,,
Troyzan,—,—,Matt,Bill,—,—,Jonas,Michael,Kim,Kim,Christina,,,,,,,
Leif,—,—,Matt,Bill,Monica,—,Michael,Michael,Alicia,Kim,,,,,,,,
Jay,—,—,Matt,Bill,—,—,Jonas,Michael,Alicia,,,,,,,,,
Michael,—,—,Bill,Bill,—,—,Jonas,Christina,,,,,,,,,,
Jonas,—,—,Matt,Bill,Monica,—,Michael,,,,,,,,,,,
Colton,—,—,Matt,Bill,Monica,Evacuated,,,,,,,,,,,,
Monica,—,Christina,—,—,Tarzan,,,,,,,,,,,,,
Bill,—,—,Matt,Leif,,,,,,,,,,,,,,
Matt,—,—,Colton,,,,,,,,,,,,,,,
Nina,—,Kat,,,,,,,,,,,,,,,,
Kourtney,Evacuated,,,,,,,,,,,,,,,,,
Result,Kourtney,Nina,Matt,Bill,Monica,Colton,Jonas,Michael,Jay,Leif,Troyzan,Kat,Tarzan,Alicia,Christina,Chelsea,Sabrina,Kim
