Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Tom,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Coby,—,Stephenie,Gregg,Caryn,Ian,Ian,—,Ian,,
Katie,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Coby,—,Stephenie,Gregg,Caryn,Jenn,Jenn,—,None,,
Ian,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Coby,—,Stephenie,Gregg,Caryn,Jenn,None,—,None,,
Jenn,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Coby,—,Stephenie,Caryn,Caryn,Ian,None,,,,
Caryn,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Coby,—,Stephenie,Gregg,Ian,,,,,,
Gregg,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Coby,—,Stephenie,Caryn,,,,,,,
Stephenie,—,—,Jolanda,Ashlee,Jeff,Kim,—,Bobby Jon,Angie,Ibrehem,James,Ibrehem,—,Coby,—,Caryn,,,,,,,,
Janu,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Stephenie,Quit,,,,,,,,,
Coby,—,—,—,—,—,—,Willard,—,—,—,—,—,—,Janu,,,,,,,,,,
Bobby Jon,—,—,Angie,Ashlee,Kim,Kim,—,Angie,None,James,James,Ibrehem,,,,,,,,,,,,
Ibrehem,—,—,Angie,Kim,Jeff,Kim,—,James,Angie,James,None,Stephenie,,,,,,,,,,,,
James,—,—,Jolanda,Ashlee,Kim,Kim,—,Angie,Angie,Ibrehem,None,,,,,,,,,,,,,
Angie,—,—,Jolanda,Ashlee,Jeff,Kim,—,Bobby Jon,None,,,,,,,,,,,,,,,
Willard,—,—,—,—,—,—,Katie,,,,,,,,,,,,,,,,,
Kim,—,—,Jolanda,Ashlee,Jeff,James,,,,,,,,,,,,,,,,,,
Jeff,—,—,Jolanda,Ashlee,James,,,,,,,,,,,,,,,,,,,
Ashlee,—,—,Jolanda,Jeff,,,,,,,,,,,,,,,,,,,,
Jolanda,—,—,Angie,,,,,,,,,,,,,,,,,,,,,
Jonathan,—,—,,,,,,,,,,,,,,,,,,,,,,
Wanda,—,—,,,,,,,,,,,,,,,,,,,,,,
Result,Jonathan,Wanda,Jolanda,Ashlee,Jeff,Kim,Willard,Tie,Angie,Tie,James,Ibrehem,Bobby Jon,Coby,Janu,Stephenie,Gregg,Caryn,Tie,Deadlock,Jenn,Ian,Katie,Tom
