Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Denise,Zane,Roxy,Angie,Russell,—,Dawson,Katie,Jonathan,Pete,Artis,Abi-Maria,Jonathan,Carter,Abi-Maria,Malcolm,,,
Lisa,—,—,—,—,—,—,—,Jonathan,Jeff,Jonathan,Abi-Maria,Jonathan,Carter,Abi-Maria,Malcolm,,,
Michael,—,—,—,—,—,—,—,Jonathan,Jeff,Artis,Abi-Maria,Jonathan,Carter,Abi-Maria,Malcolm,,,
Malcolm,Zane,Roxy,Angie,Russell,—,—,—,Jonathan,Pete,Artis,Pete,Jonathan,Carter,Abi-Maria,Denise,,,
Carter,—,—,—,—,—,Dawson,Katie,RC,Pete,Artis,Pete,Denise,Abi-Maria,,,,,
Jonathan,—,—,—,—,—,Dawson,Katie,Pete,Abi-Maria,Artis,Pete,Denise,,,,,,
Pete,—,—,—,—,—,—,—,RC,Jeff,Jonathan,Malcolm,,,,,,,
Artis,—,—,—,—,—,—,—,RC,Jeff,Jonathan,,,,,,,,
Jeff,—,—,—,—,—,Dawson,Katie,RC,Pete,,,,,,,,,
RC,—,—,—,—,—,—,—,Pete,,,,,,,,,,
Katie,—,—,—,—,—,Dawson,Jonathan,,,,,,,,,,,
Dawson,—,—,—,—,—,Denise,,,,,,,,,,,,
Dana,—,—,—,—,Quit,,,,,,,,,,,,,
Russell,Zane,Roxy,Angie,Malcolm,,,,,,,,,,,,,,
Angie,Zane,Roxy,Russell,,,,,,,,,,,,,,,
Roxy,Zane,Angie,,,,,,,,,,,,,,,,
Zane,Russell,,,,,,,,,,,,,,,,,
Abi-Maria,—,—,—,—,—,—,—,Jonathan,Jeff,Jonathan,Malcolm,Denise,Carter,Denise,,,,
Result,Zane,Roxy,Angie,Russell,Dana,Dawson,Katie,RC,Jeff,Artis,Pete,Jonathan,Carter,Abi-Maria,Malcolm,Michael,Lisa,Denise
