Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Rob,Francesca,Matt,—,—,Phillip,—,—,—,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,,,
Phillip,Francesca,Kristina,—,—,Kristina,—,—,—,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,,,
Natalie,Kristina,Matt,—,—,Kristina,—,—,—,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,,,
Ashley,Kristina,Matt,—,—,Kristina,—,—,—,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Phillip,,,
Andrea,Kristina,Kristina,—,—,Kristina,—,—,—,Matt,Mike,David,Julie,Ralph,Steve,Phillip,,,,,,
Grant,Francesca,Matt,—,—,Phillip,—,—,—,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Natalie,,,,,
Steve,—,—,Russell,Russell,—,Krista,Stephanie,Sarita,Grant,Phillip,Rob,Phillip,Rob,Grant,,,,,,,
Ralph,—,—,Russell,None,—,Krista,Stephanie,David,Grant,Phillip,Rob,Phillip,Rob,,,,,,,,
Julie,—,—,Stephanie,Russell,—,Krista,Stephanie,Sarita,Grant,Phillip,Rob,Phillip,,,,,,,,,
David,—,—,Stephanie,Russell,—,Krista,Sarita,Sarita,Grant,Phillip,Rob,,,,,,,,,,
Mike,—,—,Russell,Russell,—,Krista,Stephanie,Sarita,Grant,Phillip,,,,,,,,,,,
Matt,Francesca,Phillip,,,,,,,,,,,,,,,,,,,
Sarita,—,—,Stephanie,Russell,—,Krista,Stephanie,David,,,,,,,,,,,,,
Stephanie,—,—,Ralph,None,—,Steve,Sarita,,,,,,,,,,,,,,
Krista,—,—,Ralph,Ralph,—,Steve,,,,,,,,,,,,,,,
Kristina,Phillip,Phillip,—,—,Phillip,,,,,,,,,,,,,,,,
Russell,—,—,Ralph,None,,,,,,,,,,,,,,,,,
Francesca,Phillip,,,,,,,,,,,,,,,,,,,,
Result,Francesca,Matt,Tie,Russell,Kristina,Krista,Stephanie,Sarita,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Natalie,Phillip,Rob
