Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Natalie,Marisa,—,Betsy,Ben,—,Ashley,—,Liz,Erik,Kelly,Laura,None,John,Dave,Monica,Shambo,Jaison,Brett,,,
Mick,Ashley,—,Betsy,Ben,—,Ashley,—,Liz,Erik,Kelly,Laura,Laura,John,Dave,Monica,Shambo,Jaison,Brett,,,
Brett,—,—,—,—,Yasmin,—,—,—,Erik,Russell H.,Natalie,Natalie,John,Dave,Russell H.,Shambo,Jaison,Mick,,,
Jaison,Marisa,—,Betsy,Ben,—,Ashley,—,Liz,Erik,Kelly,Laura,Laura,John,Dave,Monica,Shambo,Mick,,,,
Shambo,—,—,—,—,Monica,—,—,—,Jaison,Russell H.,Laura,Laura,Dave,Dave,Monica,Mick,,,,,
Monica,—,—,—,—,Yasmin,—,—,—,Erik,Russell H.,Natalie,Natalie,John,Dave,Russell H.,,,,,,
Dave,—,—,—,—,Yasmin,—,—,—,Erik,Russell H.,Natalie,Natalie,John,Shambo,,,,,,,
John,—,—,—,—,Yasmin,—,—,—,Erik,Russell H.,Natalie,Laura,Mick,,,,,,,,
Laura,—,—,—,—,Yasmin,—,—,—,Erik,Russell H.,Natalie,None,,,,,,,,,
Kelly,—,—,—,—,Yasmin,—,—,—,Erik,Russell H.,,,,,,,,,,,
Erik,—,—,—,—,Yasmin,—,—,—,Jaison,,,,,,,,,,,,
Liz,Marisa,—,Betsy,Ben,—,Ashley,—,Jaison,,,,,,,,,,,,,
Ashley,Marisa,—,Betsy,Ben,—,Liz,,,,,,,,,,,,,,,
Yasmin,—,—,—,—,Monica,,,,,,,,,,,,,,,,
Ben,Marisa,—,Betsy,Ashley,,,,,,,,,,,,,,,,,
Betsy,Ashley,—,Ben,,,,,,,,,,,,,,,,,,
Mike,Marisa,Evacuated,,,,,,,,,,,,,,,,,,,
Marisa,Ashley,,,,,,,,,,,,,,,,,,,,
Russell H.,Marisa,—,Betsy,Ben,—,Ashley,—,Liz,Erik,Kelly,Laura,Laura,John,Dave,Monica,Shambo,Jaison,Brett,,,
Russell S.,—,—,—,—,Yasmin,—,Evacuated,,,,,,,,,,,,,,
Result,Marisa,Mike,Betsy,Ben,Yasmin,Ashley,Russell S.,Liz,Erik,Kelly,Tie,Laura,John,Dave,Monica,Shambo,Jaison,Brett,Mick,Russell H.,Natalie
