Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Natalie,—,—,—,—,Drew,—,—,—,Josh,Keith,Keith,Reed,Alec,Jon,Jon,Baylor,Keith,,,
Jaclyn,Dale,Baylor,Baylor,John,—,Kelley,Dale,—,Josh,Jeremy,Wes,Reed,Keith,Keith,None,Baylor,Keith,,,
Missy,—,—,—,—,Drew,Kelley,Keith,—,Josh,Jeremy,Keith,Reed,Alec,Jaclyn,Jaclyn,Jaclyn,Keith,,,
Keith,—,—,—,—,Julie,Dale,Dale,—,Baylor,Reed,Jon,Reed,Alec,Jon,None,Jaclyn,Missy,,,
Baylor,Nadiya,Val,None,John,—,Kelley,Keith,—,Josh,Jeremy,Keith,Reed,Alec,Jaclyn,Jon,Jaclyn,,,,
Jon,—,—,—,—,Keith,Dale,Dale,—,Josh,Jeremy,Wes,Reed,Keith,Keith,None,,,,,
Alec,Nadiya,Baylor,Val,John,—,—,—,—,Baylor,Reed,Jon,Reed,Keith,,,,,,,
Reed,—,—,—,—,Julie,—,—,—,Baylor,Jeremy,Jon,Missy,,,,,,,,
Wes,Nadiya,Val,Val,John,—,—,—,—,Baylor,Reed,Jon,,,,,,,,,
Jeremy,—,—,—,—,Drew,—,—,—,Josh,Keith,,,,,,,,,,
Josh,Baylor,Val,Val,John,—,—,—,—,Baylor,,,,,,,,,,,
Julie,—,—,—,—,Drew,—,—,Quit,,,,,,,,,,,,
Dale,Nadiya,Val,Val,Baylor,—,Baylor,Missy,,,,,,,,,,,,,
Kelley,—,—,—,—,Drew,Baylor,,,,,,,,,,,,,,
Drew,—,—,—,—,Kelley,,,,,,,,,,,,,,,
John,Nadiya,Baylor,Val,Baylor,,,,,,,,,,,,,,,,
Val,Dale,Baylor,None,,,,,,,,,,,,,,,,,
Nadiya,Dale,,,,,,,,,,,,,,,,,,,
Result,Nadiya,Tie,Val,John,Drew,Kelley,Dale,Julie,Josh,Jeremy,Wes,Reed,Alec,Tie,Jon,Baylor,Keith,Missy,Jaclyn,Natalie
