Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Sophie,—,Stacey,—,Stacey,—,Edna,—,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Rick,Ozzy,,,
Coach,—,Christine,—,Stacey,—,Mikayla,—,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Rick,Ozzy,,,
Albert,—,Christine,—,Stacey,—,Edna,—,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Sophie,Rick,Ozzy,,,
Ozzy,Semhar,—,Mark,—,Cochran,—,Cochran,Rick,Rick,Cochran,,,,,,,,,,,
Rick,—,Stacey,—,Stacey,—,Mikayla,—,Keith,None,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Sophie,,,,
Brandon,—,Christine,—,Stacey,—,Mikayla,—,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Sophie,,,,,
Edna,—,Stacey,—,Stacey,—,Mikayla,—,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Rick,Brandon,,,,,,
Cochran,Semhar,—,Mark,—,Elyse,—,Ozzy,Rick,Keith,Ozzy,Jim,Dawn,Whitney,Rick,,,,,,,
Whitney,Semhar,—,Mark,—,Dawn,—,Ozzy,Rick,Rick,Ozzy,Edna,Edna,Cochran,,,,,,,,
Dawn,Semhar,—,Mark,—,Elyse,—,Ozzy,Rick,Rick,Ozzy,Edna,Edna,,,,,,,,,
Jim,Semhar,—,Cochran,—,Elyse,—,Ozzy,Rick,Rick,Cochran,Edna,,,,,,,,,,
Keith,Semhar,—,Mark,—,Dawn,—,Ozzy,Rick,None,,,,,,,,,,,,
Mikayla,—,Christine,—,Stacey,—,Edna,,,,,,,,,,,,,,,
Elyse,Semhar,—,Mark,—,Cochran,,,,,,,,,,,,,,,,
Stacey,—,Sophie,—,Edna,,,,,,,,,,,,,,,,,
Mark,Semhar,—,Jim,,,,,,,,,,,,,,,,,,
Christine,—,Edna,,,,,,,,,,,,,,,,,,,
Semhar,Cochran,,,,,,,,,,,,,,,,,,,,
Result,Semhar,Christine,Mark,Stacey,Elyse,Mikayla,Ozzy,Tie,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Rick,Ozzy,Albert,Coach,Sophie
