Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Brian,John,Tanya,—,Ghandia,—,—,—,—,Ken,Penny,Jake,Ted,Helen,Jan,,
Clay,John,Tanya,—,Ghandia,—,—,—,—,Ken,Jake,Jake,Ted,Helen,None,,
Jan,John,Tanya,—,Clay,—,—,—,—,Ken,Penny,Jake,Ted,Helen,None,,
Helen,Clay,Tanya,—,Ghandia,—,—,—,—,Ken,Penny,Jake,Ted,Jan,,,
Ted,John,Tanya,—,Ghandia,—,—,—,—,Ken,Penny,Jake,Jan,,,,
Jake,—,—,Jed,—,Stephanie,Robb,Shii Ann,Erin,Ted,Jan,Jan,,,,,
Penny,—,—,Jed,—,Stephanie,Robb,Shii Ann,Erin,Ted,Jake,,,,,,
Ken,—,—,Jed,—,Stephanie,Robb,Shii Ann,Erin,Ted,,,,,,,
Erin,—,—,Jed,—,Stephanie,Robb,Shii Ann,Ken,,,,,,,,
Shii Ann,—,—,Jed,—,Stephanie,Robb,Penny,,,,,,,,,
Robb,—,—,Shii Ann,—,Shii Ann,Shii Ann,,,,,,,,,,
Stephanie,—,—,Shii Ann,—,Shii Ann,,,,,,,,,,,
Ghandia,John,Helen,—,Clay,,,,,,,,,,,,
Jed,—,—,Shii Ann,,,,,,,,,,,,,
Tanya,John,Helen,,,,,,,,,,,,,,
John,Ghandia,,,,,,,,,,,,,,,
Result,John,Tanya,Jed,Ghandia,Stephanie,Robb,Shii Ann,Erin,Ken,Penny,Jake,Ted,Helen,Jan,Clay,Brian
