Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Jenna,—,Janet,—,JoAnna,—,Shawna,Roger,Dave,Deena,Matthew,Christy,Rob,Butch,Rob,,
Matthew,Roger,—,Daniel,—,—,Shawna,Roger,Dave,Deena,Alex,Christy,Heidi,Butch,None,,
Rob,Ryan,—,Daniel,—,—,Shawna,Roger,Dave,Deena,Alex,Christy,Heidi,Butch,None,,
Butch,Ryan,—,Daniel,—,Jeanne,—,Christy,Dave,Deena,Alex,Jenna,Heidi,Rob,,,
Heidi,—,Janet,—,JoAnna,Jeanne,—,Roger,Dave,Deena,Matthew,Christy,Rob,,,,
Christy,—,Jenna,—,JoAnna,Butch,—,Roger,Dave,Alex,Alex,Jenna,,,,,
Alex,Ryan,—,Daniel,—,—,Matthew,Roger,Dave,Deena,Matthew,,,,,,
Deena,—,Janet,—,JoAnna,—,Shawna,Roger,Dave,Alex,,,,,,,
Dave,Daniel,—,Daniel,—,Jeanne,—,Christy,Matthew,,,,,,,,
Roger,Ryan,—,Daniel,—,Jeanne,—,Christy,,,,,,,,,
Shawna,—,Janet,—,Christy,—,Matthew,,,,,,,,,,
Jeanne,—,Janet,—,Shawna,Butch,,,,,,,,,,,
JoAnna,—,Christy,—,Shawna,,,,,,,,,,,,
Daniel,Roger,—,Roger,,,,,,,,,,,,,
Janet,—,Jeanne,,,,,,,,,,,,,,
Ryan,Roger,,,,,,,,,,,,,,,
Result,Ryan,Janet,Daniel,JoAnna,Jeanne,Shawna,Roger,Dave,Deena,Alex,Christy,Heidi,Butch,Rob,Matthew,Jenna
