Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Tina,—,Kel,Maralyn,Mitchell,Mitchell,—,—,—,Jeff,Jeff,—,Alicia,Jerri,Nick,Amber,Rodger,Elisabeth,None,,
Colby,—,Kel,Maralyn,Mitchell,Mitchell,—,—,—,Jeff,None,—,Alicia,Jerri,Nick,Rodger,Rodger,Elisabeth,Keith,,
Keith,—,Kel,Mitchell,Mitchell,None,—,—,—,Jeff,Jeff,—,Alicia,Jerri,Nick,Amber,Rodger,Elisabeth,None,,
Elisabeth,Debb,—,—,—,—,—,Kimmi,—,Colby,Colby,—,Jerri,Jerri,Amber,Amber,Keith,Keith,,,
Rodger,Debb,—,—,—,—,—,Kimmi,—,Colby,Colby,—,Jerri,Jerri,Amber,Amber,Keith,,,,
Amber,—,Kel,Maralyn,Keith,Keith,—,—,—,Jeff,Jeff,—,Alicia,Elisabeth,Nick,Rodger,,,,,
Nick,Debb,—,—,—,—,—,Kimmi,—,Colby,Colby,—,Jerri,Jerri,Keith,,,,,,
Jerri,—,Kel,Maralyn,Keith,Keith,—,—,—,Jeff,Jeff,—,Alicia,Elisabeth,,,,,,,
Alicia,Debb,—,—,—,—,—,Kimmi,—,Colby,Colby,—,Jerri,,,,,,,,
Jeff,Debb,—,—,—,—,—,Kimmi,—,Colby,None,,,,,,,,,,
Michael,Debb,—,—,—,—,—,Kimmi,Evacuated,,,,,,,,,,,,
Kimmi,Debb,—,—,—,—,—,Jeff,,,,,,,,,,,,,
Mitchell,—,Kel,Maralyn,Keith,None,,,,,,,,,,,,,,,
Maralyn,—,Kel,Jerri,,,,,,,,,,,,,,,,,
Kel,—,Jerri,,,,,,,,,,,,,,,,,,
Debb,Jeff,,,,,,,,,,,,,,,,,,,
Result,Debb,Kel,Maralyn,Tie,Deadlock,Mitchell,Kimmi,Michael,Tie,Deadlock,Jeff,Alicia,Jerri,Nick,Amber,Rodger,Elisabeth,Keith,Colby,Tina
