Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
J.T.,Carolina,—,—,Sandy,Spencer,Sydney,—,Sierra,Tyson,Sierra,Debbie,Erinn,Taj,Erinn,,
Stephen,Carolina,—,—,Sandy,Spencer,Sydney,—,Brendan,Tyson,Sierra,Debbie,Coach,Taj,None,,
Erinn,—,Candace,Jerry,—,—,—,—,Sierra,Tyson,Stephen,Debbie,Coach,Taj,None,,
Taj,Carolina,—,—,Joe,Spencer,Sydney,—,Brendan,Tyson,Debbie,Debbie,Coach,Erinn,,,
Coach,—,Candace,Jerry,—,—,—,—,Brendan,Sierra,Sierra,Taj,Erinn,,,,
Debbie,—,Candace,Jerry,—,—,—,—,Brendan,Sierra,Sierra,Coach,,,,,
Sierra,—,Candace,Jerry,—,—,—,—,Coach,Tyson,Debbie,,,,,,
Tyson,—,Candace,Jerry,—,—,—,—,Sierra,Sierra,,,,,,,
Brendan,—,Candace,Jerry,—,—,—,—,Coach,,,,,,,,
Joe,Carolina,—,—,Sandy,Spencer,Taj,Evacuated,,,,,,,,,
Sydney,Carolina,—,—,Sandy,Spencer,Taj,,,,,,,,,,
Spencer,Carolina,—,—,Sandy,Taj,,,,,,,,,,,
Sandy,Carolina,—,—,Sydney,,,,,,,,,,,,
Jerry,—,Candace,Erinn,,,,,,,,,,,,,
Candace,—,Sierra,,,,,,,,,,,,,,
Carolina,Sandy,,,,,,,,,,,,,,,
Result,Carolina,Candace,Jerry,Sandy,Spencer,Sydney,Joe,Brendan,Tyson,Sierra,Debbie,Coach,Taj,Erinn,Stephen,J.T.
