Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Chris,Brook,—,John P.,—,Brady,—,—,John K.,Ami,Lea,Eliza,Leann,Ami,Julie,Eliza,Scout,,
Twila,—,Dolly,—,Mia,—,—,—,John K.,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,None,,
Scout,—,Dolly,—,Mia,—,Travis,Rory,—,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,None,Twila,
Eliza,—,Dolly,—,Twila,—,Travis,Lisa,—,Rory,Lea,Chad,Leann,Ami,Twila,Twila,,,
Julie,—,Leann,—,Twila,—,—,—,John K.,Rory,Lea,Chad,Eliza,Scout,Twila,,,,
Ami,—,Dolly,—,Mia,—,Travis,Lisa,—,Rory,Lea,Chad,Eliza,Scout,,,,,
Leann,—,Dolly,—,Mia,—,Travis,Lisa,—,Rory,Lea,Chad,Eliza,,,,,,
Chad,Brook,—,John P.,—,Brady,—,—,John K.,Ami,Julie,Eliza,,,,,,,
Lea,Brook,—,John P.,—,Brady,—,—,John K.,Ami,Eliza,,,,,,,,
Rory,Brook,—,John P.,—,Brady,Travis,Lisa,—,Ami,,,,,,,,,
Lisa,—,Leann,—,Mia,—,Travis,Rory,,,,,,,,,,,
Travis,Brook,—,John P.,—,Brady,Rory,,,,,,,,,,,,
Brady,Rory,—,Rory,—,Rory,,,,,,,,,,,,,
Mia,—,Leann,—,Twila,,,,,,,,,,,,,,
Dolly,—,Leann,,,,,,,,,,,,,,,,
Brook,Chris,,,,,,,,,,,,,,,,,
John K.,Chris,—,Rory,—,Brady,—,—,Chad,,,,,,,,,,
John P.,Chris,—,Rory,,,,,,,,,,,,,,,
Result,Brook,Dolly,John P.,Mia,Brady,Travis,Lisa,John K.,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,Scout,Twila,Chris
