Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Mike,—,—,—,Lindsey,Lindsey,—,Joaquin,Jenn,Hali,Joe,Jenn,Tyler,Tyler,Dan,Sierra,Rodney,—,,,
Carolyn,So,—,—,—,—,Max,—,Jenn,Hali,Jenn,Jenn,Shirin,Tyler,Dan,Sierra,Rodney,—,,,
Will,—,Vince,Nina,—,—,Max,—,Hali,Hali,Jenn,Jenn,Dan,Mike,Carolyn,Sierra,Carolyn,—,,,
Rodney,—,—,—,Sierra,None,—,Joe,Jenn,Hali,Joe,Shirin,Shirin,Mike,Carolyn,Sierra,Carolyn,,Will,,
Sierra,—,—,—,Rodney,None,—,Joaquin,Jenn,Hali,Joe,Shirin,Shirin,Tyler,Carolyn,Rodney,,,,,
Dan,—,—,—,Lindsey,Lindsey,—,Joaquin,Jenn,Hali,Joe,Shirin,Shirin,Mike,Carolyn,,,,,,
Tyler,So,—,—,—,—,—,Joe,Jenn,Hali,Jenn,Jenn,Dan,Mike,,,,,,,
Shirin,So,—,—,—,—,Will,—,Kelly,Dan,Joe,Jenn,Tyler,,,,,,,,
Jenn,—,Vince,Nina,—,—,Max,—,Kelly,Dan,Dan,Carolyn,,,,,,,,,
Joe,—,Nina,Nina,—,—,—,Joaquin,Kelly,Dan,Jenn,,,,,,,,,,
Hali,—,Vince,Will,—,—,Max,—,Kelly,Dan,,,,,,,,,,,
Kelly,—,—,—,Sierra,Lindsey,Max,—,Jenn,,,,,,,,,,,,
Joaquin,Carolyn,—,—,—,—,—,Joe,,,,,,,,,,,,,
Max,So,—,—,—,—,Will,,,,,,,,,,,,,,
Lindsey,—,—,—,Rodney,None,,,,,,,,,,,,,,,
Nina,—,Jenn,Will,,,,,,,,,,,,,,,,,
Vince,—,Jenn,,,,,,,,,,,,,,,,,,
So,Carolyn,,,,,,,,,,,,,,,,,,,
Result,So,Vince,Nina,Tie,Lindsey,Max,Joaquin,Kelly,Hali,Joe,Jenn,Shirin,Tyler,Dan,Sierra,Tie,Rodney,Will,Carolyn,Mike
